iter	RMSE
0	3.066638628
1	2.964822434
2	2.873058324
3	2.792898582
4	2.720513133
5	2.658969587
6	2.60301955
7	2.553575187
8	2.510713934
9	2.4743934
10	2.441392567
11	2.413802259
12	2.389711337
13	2.36834177
14	2.348324088
15	2.331783978
16	2.317289464
17	2.304451643
18	2.292756713
19	2.282669631
20	2.273921212
21	2.266376335
22	2.259404753
23	2.253325644
24	2.247620597
25	2.242902063
26	2.238902675
27	2.235048834
28	2.231799148
29	2.22911213
30	2.226323781
31	2.224027796
32	2.222198648
33	2.219993717
34	2.218203612
35	2.216769781
36	2.215401191
37	2.214290983
38	2.213080305
39	2.211858648
40	2.210629926
41	2.209534039
42	2.208546319
43	2.207751094
44	2.206845161
45	2.205902141
46	2.205074197
47	2.204550726
48	2.204146078
49	2.203509236
50	2.20269073
51	2.202248794
52	2.201591341
53	2.200967516
54	2.200515442
55	2.200103673
56	2.199575582
57	2.199030189
58	2.198565322
59	2.198102861
60	2.197483166
61	2.197136126
62	2.196808943
63	2.196402099
64	2.195828806
65	2.195420634
66	2.195054137
67	2.194618689
68	2.194104386
69	2.193764204
70	2.193435245
71	2.193167038
72	2.192867059
73	2.192559177
74	2.192207838
75	2.191931294
76	2.191687324
77	2.191310751
78	2.19109278
79	2.190686274
80	2.1902799
81	2.190016418
82	2.189656268
83	2.189077346
84	2.18850813
85	2.188177206
86	2.187875455
87	2.187568071
88	2.18709823
89	2.18688464
90	2.186499515
91	2.186109747
92	2.185557621
93	2.18527934
94	2.18491651
95	2.1846188
96	2.184232207
97	2.183971851
98	2.183765278
99	2.183376075
100	2.183077493
101	2.182726449
102	2.182311236
103	2.181831843
104	2.18155146
105	2.181293945
106	2.18095923
107	2.180734972
108	2.180502917
109	2.180229428
110	2.179998692
111	2.179458783
112	2.17918309
113	2.178907369
114	2.178557348
115	2.178173534
116	2.17780196
117	2.177380927
118	2.176998037
119	2.176751925
120	2.17663024
121	2.176410457
122	2.176118664
123	2.175731888
124	2.175344773
125	2.17504095
126	2.174725025
127	2.174427081
128	2.173943034
129	2.173658983
130	2.173285166
131	2.172929587
132	2.172575874
133	2.172225466
134	2.171895268
135	2.1715038
136	2.171063263
137	2.170757538
138	2.170266899
139	2.169966093
140	2.169655331
141	2.169349466
142	2.16880952
143	2.168476561
144	2.167949826
145	2.167519903
146	2.167190068
147	2.166985361
148	2.166705132
149	2.16632908
150	2.166069133
151	2.165816884
152	2.165368191
153	2.164860373
154	2.164553739
155	2.164336472
156	2.163994764
157	2.163831419
158	2.163507625
159	2.163156003
160	2.162860205
161	2.162699444
162	2.16249374
