iter	Passed	Remaining
0	2	718
1	5	716
2	8	693
3	11	686
4	13	675
5	16	667
6	18	658
7	21	654
8	24	648
9	27	651
10	29	645
11	32	641
12	34	637
13	37	632
14	40	627
15	42	624
16	45	618
17	47	614
18	50	608
19	53	609
20	55	605
21	57	600
22	60	597
23	63	595
24	65	592
25	68	590
26	70	586
27	73	581
28	76	581
29	78	578
30	81	576
31	84	573
32	86	569
33	89	566
34	91	561
35	93	558
36	96	554
37	98	551
38	101	548
39	103	544
40	106	540
41	108	538
42	111	536
43	114	533
44	116	530
45	118	527
46	121	524
47	123	521
48	126	518
49	129	516
50	131	513
51	133	509
52	136	506
53	138	503
54	141	502
55	144	501
56	147	498
57	149	494
58	152	492
59	155	491
60	158	491
61	161	489
62	164	487
63	166	484
64	169	482
65	171	479
66	174	477
67	177	475
68	180	472
69	182	469
70	185	466
71	187	463
72	189	460
73	192	458
74	195	455
75	197	452
76	199	449
77	202	446
78	204	443
79	207	440
80	209	437
81	212	435
82	214	431
83	217	429
84	219	426
85	221	423
86	224	420
87	226	417
88	229	415
89	232	412
90	234	409
91	236	406
92	239	403
93	241	401
94	243	398
95	246	395
96	248	392
97	251	389
98	253	386
99	255	383
100	258	381
101	261	379
102	263	376
103	266	373
104	268	371
105	271	368
106	273	365
107	276	363
108	278	360
109	281	357
110	283	354
111	285	351
112	288	349
113	291	347
114	294	345
115	296	342
116	299	340
117	302	337
118	304	335
119	307	332
120	309	330
121	312	327
122	314	324
123	317	322
124	319	319
125	321	316
126	324	314
127	326	311
128	329	309
129	332	306
130	334	303
131	337	301
132	339	298
133	342	296
134	344	293
135	347	290
136	350	288
137	352	286
138	354	283
139	357	281
140	360	278
141	362	275
142	365	273
143	367	270
144	370	268
145	372	265
146	375	262
147	377	260
148	380	258
149	383	255
150	385	252
151	388	250
152	391	247
153	393	245
154	395	242
155	398	240
156	400	237
157	403	234
158	405	231
159	407	229
160	410	226
161	412	224
162	415	221
163	418	219
164	420	216
165	423	214
166	425	211
167	428	208
168	431	206
169	434	204
170	436	201
171	439	199
172	441	196
173	444	193
174	446	191
175	448	188
176	451	186
177	453	183
178	455	180
179	458	178
180	461	175
181	463	173
182	465	170
183	468	168
184	470	165
185	473	162
186	475	160
187	478	157
188	480	155
189	483	152
190	485	149
191	487	147
192	490	144
193	493	142
194	495	139
195	498	137
196	500	134
197	503	132
198	505	129
199	508	127
200	510	124
201	513	121
202	515	119
203	518	116
204	520	114
205	523	111
206	525	109
207	528	106
208	529	103
209	531	101
210	533	98
211	535	96
212	537	93
213	540	90
214	543	88
215	545	85
216	548	83
217	550	80
218	553	78
219	555	75
220	558	73
221	560	70
222	562	68
223	565	65
224	567	63
225	570	60
226	572	58
227	575	55
228	578	53
229	580	50
230	582	47
231	585	45
232	587	42
233	590	40
234	592	37
235	595	35
236	597	32
237	600	30
238	602	27
239	605	25
240	607	22
241	610	20
242	613	17
243	615	15
244	617	12
245	620	10
246	622	7
247	625	5
248	626	2
249	629	0
